data,produto,quantidade,valor
2023-10-01,Notebook,3,3500.00
2023-10-01,Smartphone,8,1500.00
2023-10-01,Fone de Ouvido,10,200.00
2023-10-01,Smartwatch,3,800.00
2023-10-02,Tablet,6,1200.00
2023-10-02,Notebook,4,3500.00
2023-10-02,Caixa de Som,7,300.00
2023-10-02,Monitor,2,900.00
2023-10-03,Smartphone,7,1500.00
2023-10-03,Tablet,5,1200.00
2023-10-03,Teclado,9,150.00
2023-10-03,Mouse,12,100.00
2023-10-04,Notebook,6,3500.00
2023-10-04,Smartphone,5,1500.00
2023-10-04,Impressora,3,600.00
2023-10-04,HD Externo,8,400.00
2023-10-05,Tablet,4,1200.00
2023-10-05,Notebook,5,3500.00
2023-10-05,Webcam,6,250.00
2023-10-05,Roteador,10,180.00
2023-10-06,Smartphone,9,1500.00
2023-10-06,Tablet,7,1200.00
2023-10-06,Fone de Ouvido,15,200.00
2023-10-06,Smartwatch,4,800.00
2023-10-07,Notebook,8,3500.00
2023-10-07,Smartphone,6,1500.00
2023-10-07,Caixa de Som,12,300.00
2023-10-07,Monitor,3,900.00
2023-10-08,Tablet,9,1200.00
2023-10-08,Notebook,7,3500.00
